Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
5.59E+00,6.29E-17,,,,,,,,,,,,,,,,,,,
5.60E+00,1.02E-16,,,,,,,,,,,,,,,,,,,
5.61E+00,4.01E-17,,,,,,,,,,,,,,,,,,,
5.63E+00,3.18E-17,,,,,,,,,,,,,,,,,,,
5.64E+00,7.59E-17,,,,,,,,,,,,,,,,,,,
5.66E+00,6.25E-18,,,,,,,,,,,,,,,,,,,
5.67E+00,6.96E-17,,,,,,,,,,,,,,,,,,,
5.69E+00,5.34E-17,,,,,,,,,,,,,,,,,,,
5.70E+00,1.83E-17,,,,,,,,,,,,,,,,,,,
5.71E+00,3.74E-17,,,,,,,,,,,,,,,,,,,
5.73E+00,5.10E-17,,,,,,,,,,,,,,,,,,,
5.74E+00,1.32E-17,,,,,,,,,,,,,,,,,,,
5.76E+00,2.93E-17,,,,,,,,,,,,,,,,,,,
